model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,clean_accuracy,clean_mean_confidence,accuracy_drop,confidence_drop,incorrect_n,mean_confidence_correct,mean_confidence_incorrect,high_conf_wrong_rate
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,high,100,0.64,0.7460648681223393,0.79,0.8518817180395126,0.15000000000000002,0.10581684991717333,36,0.8640655253548175,0.5362859219312668,0.21
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,low,100,0.75,0.8221105319261551,0.79,0.8518817180395126,0.040000000000000036,0.029771186113357495,25,0.9198507368564606,0.5288899171352387,0.11
CLIP ViT-B/32,clip_vit_b32,modern_transfer,low_light_upload,mid,100,0.74,0.7972989490628243,0.79,0.8518817180395126,0.050000000000000044,0.054582768976688345,26,0.8841540177126188,0.550096061367255,0.16
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,high,100,0.82,0.8421983829140663,0.79,0.8518817180395126,-0.029999999999999916,0.00968333512544628,18,0.9047288843771306,0.5573372095823288,0.12
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,low,100,0.81,0.8513139666616917,0.79,0.8518817180395126,-0.020000000000000018,0.0005677513778209464,19,0.909052022261384,0.6051675191051081,0.13
CLIP ViT-B/32,clip_vit_b32,modern_transfer,messenger_chain,mid,100,0.79,0.8475405898690224,0.79,0.8518817180395126,0.0,0.0043411281704902605,21,0.9184435771990426,0.5808103041989463,0.13
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,high,100,0.76,0.8102082806825638,0.79,0.8518817180395126,0.030000000000000027,0.04167343735694884,24,0.9086372358234305,0.49851658940315247,0.1
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,low,100,0.79,0.8457913979887962,0.79,0.8518817180395126,0.0,0.0060903200507164135,21,0.9216918160643759,0.5602612537997109,0.12
CLIP ViT-B/32,clip_vit_b32,modern_transfer,restoration_artifact,mid,100,0.79,0.8335688184201717,0.79,0.8518817180395126,0.0,0.018312899619340905,21,0.9097808014742935,0.5468665964546657,0.11
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,high,100,0.79,0.8222270667552948,0.79,0.8518817180395126,0.0,0.029654651284217848,21,0.8991934660869308,0.5326868026029496,0.1
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,low,100,0.79,0.8487654834985733,0.79,0.8518817180395126,0.0,0.0031162345409393444,21,0.9160600598854355,0.5956096961384728,0.15
CLIP ViT-B/32,clip_vit_b32,modern_transfer,screenshot_chain,mid,100,0.82,0.8482864427566529,0.79,0.8518817180395126,-0.029999999999999916,0.0035952752828597445,18,0.9065485327709012,0.5828702549139658,0.1
CLIP ViT-B/32,clip_vit_b32,modern_transfer,video_call_frame,high,100,0.75,0.8153864976763725,0.79,0.8518817180395126,0.040000000000000036,0.036495220363140124,25,0.9151126317183177,0.5162080955505371,0.1
CLIP ViT-B/32,clip_vit_b32,modern_transfer,video_call_frame,low,100,0.78,0.8416436350345612,0.79,0.8518817180395126,0.010000000000000009,0.010238083004951437,22,0.9179057543858503,0.5712597573345358,0.12
CLIP ViT-B/32,clip_vit_b32,modern_transfer,video_call_frame,mid,100,0.76,0.8189205580949783,0.79,0.8518817180395126,0.030000000000000027,0.0329611599445343,24,0.9185377790739662,0.5034660249948502,0.1
CLIP ViT-B/16,clip_vit_b16,classic,blur_classic,high,100,0.79,0.8492678132653236,0.9,0.8785907293856144,0.10999999999999999,0.02932291612029081,21,0.9338702434980417,0.5310015281041464,0.11
